year,year_max,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2006,2010,SLV,Planted,0.0000064,,,,
2011,2015,SLV,Planted,0.0000012,,,,
2016,2020,SLV,Planted,0.0000068,,,,
2000,2005,SLV,Total,0.0041,,,,
2006,2010,SLV,Total,0.0028,,,,
2011,2015,SLV,Total,0.0023,,,,
2016,2020,SLV,Total,0.0054,,,,
2000,2005,SMR,Natural,0.0000042,,,,
2006,2010,SMR,Natural,0.0000023,,,,
2011,2015,SMR,Natural,0.0000021,,,,
2016,2020,SMR,Natural,0.000011,,,,
2000,2005,SMR,Planted,0,,,,
2006,2010,SMR,Planted,0,,,,
2011,2015,SMR,Planted,0,,,,
2016,2020,SMR,Planted,0,,,,
2000,2005,SMR,Total,0.0000042,,,,
2006,2010,SMR,Total,0.0000023,,,,
2011,2015,SMR,Total,0.0000021,,,,
2016,2020,SMR,Total,0.000011,,,,
2000,2005,SOM,Natural,0.00023,,,,
2006,2010,SOM,Natural,0.00048,,,,
2011,2015,SOM,Natural,0.00071,,,,
2016,2020,SOM,Natural,0.0026,,,,
2000,2005,SOM,Planted,0.0000015,,,,
2006,2010,SOM,Planted,0.0000078,,,,
2011,2015,SOM,Planted,0.000026,,,,
2016,2020,SOM,Planted,0.0001,,,,
2000,2005,SOM,Total,0.00024,,,,
2006,2010,SOM,Total,0.00049,,,,
2011,2015,SOM,Total,0.00074,,,,
2016,2020,SOM,Total,0.0027,,,,
2000,2005,SPM,Natural,0.000003,,,,
2006,2010,SPM,Natural,0.0000022,,,,
2011,2015,SPM,Natural,0.0000038,,,,
2016,2020,SPM,Natural,0.000023,,,,
2000,2005,SPM,Planted,0,,,,
2006,2010,SPM,Planted,0,,,,
2011,2015,SPM,Planted,0,,,,
2016,2020,SPM,Planted,0,,,,
2000,2005,SPM,Total,0.000003,,,,
2006,2010,SPM,Total,0.0000022,,,,
2011,2015,SPM,Total,0.0000038,,,,
2016,2020,SPM,Total,0.000023,,,,
2000,2005,SRB,Natural,0.015,,,,
2006,2010,SRB,Natural,0.02,,,,
2011,2015,SRB,Natural,0.013,,,,
2016,2020,SRB,Natural,0.019,,,,
2000,2005,SRB,Planted,0.0033,,,,
2006,2010,SRB,Planted,0.003,,,,
2011,2015,SRB,Planted,0.0021,,,,
2016,2020,SRB,Planted,0.0011,,,,
2000,2005,SRB,Total,0.018,,,,
2006,2010,SRB,Total,0.023,,,,
2011,2015,SRB,Total,0.015,,,,
2016,2020,SRB,Total,0.02,,,,
2000,2005,SSD,Natural,0.18,,,,
2006,2010,SSD,Natural,0.27,,,,
2011,2015,SSD,Natural,0.25,,,,
2016,2020,SSD,Natural,0.4,,,,
2000,2005,SSD,Planted,0,,,,
2006,2010,SSD,Planted,0,,,,
2011,2015,SSD,Planted,0,,,,
2016,2020,SSD,Planted,0.000000076,,,,
2000,2005,SSD,Total,0.18,,,,
2006,2010,SSD,Total,0.27,,,,
2011,2015,SSD,Total,0.25,,,,
2016,2020,SSD,Total,0.4,,,,
2000,2005,STP,Natural,0,,,,
2006,2010,STP,Natural,0,,,,
2011,2015,STP,Natural,0,,,,
2016,2020,STP,Natural,0,,,,
2000,2005,STP,Planted,0,,,,
2006,2010,STP,Planted,0,,,,
2011,2015,STP,Planted,0,,,,
2016,2020,STP,Planted,0,,,,
2000,2005,STP,Total,0,,,,
2006,2010,STP,Total,0,,,,
2011,2015,STP,Total,0,,,,
2016,2020,STP,Total,0,,,,
2000,2005,SUR,Natural,0.0091,,,,
2006,2010,SUR,Natural,0.0067,,,,
2011,2015,SUR,Natural,0.005,,,,
2016,2020,SUR,Natural,0.003,,,,
2000,2005,SUR,Planted,0.0000011,,,,
2006,2010,SUR,Planted,0.0000066,,,,
2011,2015,SUR,Planted,0.00000069,,,,
2016,2020,SUR,Planted,0.0000022,,,,
2000,2005,SUR,Total,0.0091,,,,
2006,2010,SUR,Total,0.0067,,,,
2011,2015,SUR,Total,0.005,,,,
2016,2020,SUR,Total,0.003,,,,
2000,2005,SVK,Natural,0.01,,,,
2006,2010,SVK,Natural,0.0078,,,,
2011,2015,SVK,Natural,0.0055,,,,
2016,2020,SVK,Natural,0.0059,,,,
2000,2005,SVK,Planted,0.003,,,,
2006,2010,SVK,Planted,0.0027,,,,
2011,2015,SVK,Planted,0.00076,,,,
2016,2020,SVK,Planted,0.00024,,,,
2000,2005,SVK,Total,0.013,,,,
2006,2010,SVK,Total,0.01,,,,
2011,2015,SVK,Total,0.0063,,,,
2016,2020,SVK,Total,0.0061,,,,
2000,2005,SVN,Natural,0.0027,,,,
2006,2010,SVN,Natural,0.0015,,,,
2011,2015,SVN,Natural,0.0013,,,,
2016,2020,SVN,Natural,0.0018,,,,
2000,2005,SVN,Planted,0.00014,,,,
2006,2010,SVN,Planted,0.00015,,,,
2011,2015,SVN,Planted,0.00011,,,,
2016,2020,SVN,Planted,0.00013,,,,
2000,2005,SVN,Total,0.0028,,,,
2006,2010,SVN,Total,0.0016,,,,
2011,2015,SVN,Total,0.0014,,,,
