year,geo,value
2008,MEX,0
2009,MEX,0
2010,MEX,0
2011,MEX,0
2012,MEX,3421
2013,MEX,4292
2014,MEX,4273
2015,MEX,4257
2016,MEX,4343
2017,MEX,4334
2018,MEX,4362
2019,MEX,4928
2020,MEX,4174
2021,MEX,1350
2022,MEX,0
2023,MEX,0
2024,MEX,0
2000,MNE,0
2001,MNE,0
2002,MNE,0
2003,MNE,0
2004,MNE,0
2005,MNE,0
2006,MNE,0
2007,MNE,0
2008,MNE,0
2009,MNE,0
2010,MNE,0
2011,MNE,0
2012,MNE,0
2013,MNE,0
2014,MNE,0
2015,MNE,0
2016,MNE,0
2017,MNE,0
2018,MNE,0
2019,MNE,0
2020,MNE,21
2021,MNE,21
2022,MNE,21
2023,MNE,0
2024,MNE,0
2000,MAR,7
2001,MAR,7
2002,MAR,7
2003,MAR,7
2004,MAR,7
2005,MAR,7
2006,MAR,7
2007,MAR,7
2008,MAR,7
2009,MAR,7
2010,MAR,7
2011,MAR,7
2012,MAR,7
2013,MAR,1
2014,MAR,1
2015,MAR,1
2016,MAR,1
2017,MAR,1
2018,MAR,1
2019,MAR,0
2020,MAR,0
2021,MAR,0
2022,MAR,0
2023,MAR,0
2024,MAR,0
2000,NZL,77
2001,NZL,77
2002,NZL,77
2003,NZL,77
2004,NZL,77
2005,NZL,77
2006,NZL,77
2007,NZL,77
2008,NZL,77
2009,NZL,77
2010,NZL,77
2011,NZL,77
2012,NZL,77
2013,NZL,77
2014,NZL,77
2015,NZL,77
2016,NZL,71
2017,NZL,64
2018,NZL,58
2019,NZL,56
2020,NZL,56
2021,NZL,54
2022,NZL,0
2023,NZL,0
2024,NZL,0
2000,NOR,59
2001,NOR,60
2002,NOR,60
2003,NOR,60
2004,NOR,77
2005,NOR,78
2006,NOR,83
2007,NOR,83
2008,NOR,82
2009,NOR,82
2010,NOR,82
2011,NOR,79
2012,NOR,88
2013,NOR,69
2014,NOR,69
2015,NOR,69
2016,NOR,98
2017,NOR,152
2018,NOR,149
2019,NOR,148
2020,NOR,143
2021,NOR,125
2022,NOR,131
2023,NOR,118
2024,NOR,0
2000,PAK,7
2001,PAK,7
2002,PAK,7
2003,PAK,5
2004,PAK,0
2005,PAK,0
2006,PAK,0
2007,PAK,0
2008,PAK,0
2009,PAK,0
2010,PAK,0
2011,PAK,0
2012,PAK,0
2013,PAK,0
2014,PAK,0
2015,PAK,0
2016,PAK,0
2017,PAK,0
2018,PAK,0
2019,PAK,0
2020,PAK,0
2021,PAK,0
2022,PAK,0
2023,PAK,0
2024,PAK,0
2000,PAN,0
2001,PAN,0
2002,PAN,0
2003,PAN,27
2004,PAN,29
2005,PAN,29
2006,PAN,29
2007,PAN,74
2008,PAN,68
2009,PAN,68
2010,PAN,41
2011,PAN,0
2012,PAN,0
2013,PAN,0
2014,PAN,0
2015,PAN,0
2016,PAN,0
2017,PAN,0
2018,PAN,0
2019,PAN,0
2020,PAN,0
2021,PAN,0
2022,PAN,0
2023,PAN,0
2024,PAN,0
2000,PNG,0
2001,PNG,0
2002,PNG,0
2003,PNG,0
2004,PNG,0
2005,PNG,0
2006,PNG,0
2007,PNG,0
2008,PNG,0
2009,PNG,0
2010,PNG,0
2011,PNG,0
2012,PNG,0
2013,PNG,0
2014,PNG,0
2015,PNG,0
2016,PNG,0
2017,PNG,0
2018,PNG,0
2019,PNG,0
2020,PNG,0
2021,PNG,0
2022,PNG,0
2023,PNG,0
2024,PNG,0
2000,PER,0
2001,PER,0
2002,PER,0
2003,PER,1
2004,PER,2
2005,PER,2
2006,PER,0
2007,PER,0
2008,PER,0
2009,PER,0
2010,PER,0
2011,PER,0
2012,PER,0
2013,PER,0
2014,PER,0
2015,PER,0
2016,PER,0
2017,PER,0
2018,PER,0
2019,PER,0
2020,PER,0
2021,PER,0
2022,PER,0
2023,PER,0
2024,PER,0
2000,POL,6
2001,POL,6
2002,POL,6
2003,POL,6
2004,POL,2
2005,POL,2
2006,POL,2
2007,POL,2
2008,POL,101
2009,POL,155
2010,POL,158
2011,POL,396
2012,POL,896
2013,POL,1457
2014,POL,1799
2015,POL,1912
2016,POL,2011
