year,geo,value
2018,LUX,117
2019,LUX,114
2020,LUX,108
2021,LUX,99
2022,LUX,89
2023,LUX,76
2024,LUX,72
2025,LUX,63
2004,LVA,46
2005,LVA,46
2006,LVA,50
2007,LVA,61
2008,LVA,68
2009,LVA,72
2010,LVA,76
2011,LVA,68
2012,LVA,73
2013,LVA,68
2014,LVA,63
2015,LVA,63
2016,LVA,61
2017,LVA,62
2018,LVA,61
2019,LVA,58
2020,LVA,57
2021,LVA,57
2022,LVA,57
2023,LVA,56
2024,LVA,56
2025,LVA,56
2004,MAC,56
2005,MAC,56
2006,MAC,65
2007,MAC,84
2008,MAC,108
2009,MAC,129
2010,MAC,139
2011,MAC,153
2012,MAC,174
2013,MAC,209
2014,MAC,209
2015,MAC,232
2016,MAC,266
2017,MAC,301
2018,MAC,311
2019,MAC,308
2020,MAC,304
2021,MAC,304
2022,MAC,268
2023,MAC,266
2024,MAC,225
2025,MAC,222
2004,MAR,8.5
2005,MAR,15
2006,MAR,13
2007,MAR,14
2008,MAR,16
2009,MAR,18
2010,MAR,20
2011,MAR,21
2012,MAR,23
2013,MAR,24
2014,MAR,25
2015,MAR,26
2016,MAR,27
2017,MAR,27
2018,MAR,28
2019,MAR,29
2020,MAR,29
2021,MAR,29
2022,MAR,30
2023,MAR,28
2024,MAR,28
2025,MAR,29
2004,MDA,9.7
2005,MDA,13
2006,MDA,16
2007,MDA,19
2008,MDA,25
2009,MDA,29
2010,MDA,32
2011,MDA,36
2012,MDA,39
2013,MDA,43
2014,MDA,46
2015,MDA,42
2016,MDA,46
2017,MDA,49
2018,MDA,52
2019,MDA,53
2020,MDA,53
2021,MDA,56
2022,MDA,58
2023,MDA,63
2024,MDA,68
2025,MDA,72
2004,MDG,0.27
2005,MDG,0.56
2006,MDG,0.72
2007,MDG,0.96
2008,MDG,1.2
2009,MDG,1.3
2010,MDG,1.3
2011,MDG,1.5
2012,MDG,1.6
2013,MDG,1.7
2014,MDG,2
2015,MDG,2.2
2016,MDG,2.4
2017,MDG,2.7
2018,MDG,2.8
2019,MDG,2.9
2020,MDG,3
2021,MDG,3
2022,MDG,3.1
2023,MDG,3
2024,MDG,3
2025,MDG,3.1
2004,MDV,7.6
2005,MDV,7.8
2006,MDV,7.4
2007,MDV,18
2008,MDV,17
2009,MDV,17
2010,MDV,17
2011,MDV,17
2012,MDV,20
2013,MDV,21
2014,MDV,25
2015,MDV,25
2016,MDV,28
2017,MDV,33
2018,MDV,36
2019,MDV,39
2020,MDV,42
2021,MDV,43
2022,MDV,44
2023,MDV,45
2024,MDV,51
2025,MDV,81
2004,MEX,29
2005,MEX,32
2006,MEX,35
2007,MEX,39
2008,MEX,42
2009,MEX,43
2010,MEX,46
2011,MEX,45
2012,MEX,49
2013,MEX,49
2014,MEX,51
2015,MEX,53
2016,MEX,55
2017,MEX,56
2018,MEX,60
2019,MEX,63
2020,MEX,63
2021,MEX,64
2022,MEX,66
2023,MEX,69
2024,MEX,70
2025,MEX,70
2007,MHL,3.2
2008,MHL,3.2
2009,MHL,3.2
