year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2021,GIN,Total,0,,,,
2022,GIN,Total,0,,,,
2018,GMB,Total,1,,,,
2019,GMB,Total,1,,,,
2020,GMB,Total,1,,,,
2021,GMB,Total,1,,,,
2022,GMB,Total,1,,,,
2018,GNB,Total,1,,,,
2019,GNB,Total,1,,,,
2020,GNB,Total,1,,,,
2021,GNB,Total,1,,,,
2022,GNB,Total,1,,,,
2018,GNQ,Total,0,,,,
2019,GNQ,Total,0,,,,
2020,GNQ,Total,0,,,,
2021,GNQ,Total,0,,,,
2022,GNQ,Total,0,,,,
2018,GRC,Total,1,,,,
2019,GRC,Total,1,,,,
2020,GRC,Total,1,,,,
2021,GRC,Total,1,,,,
2022,GRC,Total,1,,,,
2018,GRD,Total,1,,,,
2019,GRD,Total,1,,,,
2020,GRD,Total,1,,,,
2021,GRD,Total,1,,,,
2022,GRD,Total,1,,,,
2018,GTM,Total,1,,,,
2019,GTM,Total,1,,,,
2020,GTM,Total,1,,,,
2021,GTM,Total,1,,,,
2022,GTM,Total,0,,,,
2018,GUY,Total,1,,,,
2019,GUY,Total,1,,,,
2020,GUY,Total,1,,,,
2021,GUY,Total,1,,,,
2022,GUY,Total,1,,,,
2021,HKG,Total,0,,,,
2022,HKG,Total,0,,,,
2018,HND,Total,0,,,,
2019,HND,Total,0,,,,
