year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2010,BEL,Nighttime,1.12,,,,
2010,BEL,Daytime,2.31,,,,
2015,BEL,Nighttime,1.00,,,,
2015,BEL,Daytime,2.39,,,,
2020,BEL,Nighttime,1.21,,,,
2020,BEL,Daytime,2.22,,,,
2010,BEN,Nighttime,0.28,,,,
2010,BEN,Daytime,2.19,,,,
2015,BEN,Nighttime,0.42,,,,
2015,BEN,Daytime,2.19,,,,
2020,BEN,Nighttime,0.39,,,,
2020,BEN,Daytime,1.72,,,,
2010,BFA,Nighttime,0.00,,,,
2010,BFA,Daytime,0.45,,,,
2015,BFA,Nighttime,0.00,,,,
2015,BFA,Daytime,0.30,,,,
2020,BFA,Nighttime,-0.02,,,,
2020,BFA,Daytime,0.55,,,,
2010,BGD,Nighttime,0.18,,,,
2010,BGD,Daytime,1.10,,,,
2015,BGD,Nighttime,0.10,,,,
2015,BGD,Daytime,2.28,,,,
2020,BGD,Nighttime,0.54,,,,
2020,BGD,Daytime,1.16,,,,
2010,BGR,Nighttime,1.92,,,,
2010,BGR,Daytime,1.92,,,,
2015,BGR,Nighttime,2.07,,,,
2015,BGR,Daytime,0.76,,,,
2020,BGR,Nighttime,2.00,,,,
2020,BGR,Daytime,0.82,,,,
2010,BHR,Nighttime,0.16,,,,
2010,BHR,Daytime,-0.95,,,,
2015,BHR,Nighttime,0.08,,,,
2015,BHR,Daytime,-1.27,,,,
2020,BHR,Nighttime,-0.13,,,,
2020,BHR,Daytime,-1.21,,,,
2010,BHS,Nighttime,0.01,,,,
2010,BHS,Daytime,1.24,,,,
2015,BHS,Nighttime,0.07,,,,
2015,BHS,Daytime,1.17,,,,
2020,BHS,Nighttime,0.09,,,,
2020,BHS,Daytime,1.23,,,,
2010,BIH,Nighttime,0.57,,,,
2010,BIH,Daytime,1.36,,,,
2015,BIH,Nighttime,0.73,,,,
2015,BIH,Daytime,1.47,,,,
2020,BIH,Nighttime,0.64,,,,
2020,BIH,Daytime,1.98,,,,
2010,BLR,Nighttime,1.15,,,,
2010,BLR,Daytime,2.55,,,,
2015,BLR,Nighttime,1.42,,,,
2015,BLR,Daytime,2.38,,,,
2020,BLR,Nighttime,1.05,,,,
2020,BLR,Daytime,2.68,,,,
2010,BOL,Nighttime,0.37,,,,
2010,BOL,Daytime,1.55,,,,
2015,BOL,Nighttime,0.29,,,,
2015,BOL,Daytime,2.14,,,,
2020,BOL,Nighttime,0.29,,,,
2020,BOL,Daytime,2.29,,,,
2010,BRA,Nighttime,0.70,,,,
2010,BRA,Daytime,2.83,,,,
2015,BRA,Nighttime,0.72,,,,
2015,BRA,Daytime,2.50,,,,
2020,BRA,Nighttime,0.59,,,,
2020,BRA,Daytime,2.68,,,,
2010,BWA,Nighttime,0.58,,,,
2010,BWA,Daytime,0.70,,,,
2015,BWA,Nighttime,0.41,,,,
2015,BWA,Daytime,0.33,,,,
2020,BWA,Nighttime,0.58,,,,
2020,BWA,Daytime,1.07,,,,
2010,CAF,Nighttime,0.28,,,,
2010,CAF,Daytime,2.36,,,,
2015,CAF,Nighttime,0.11,,,,
2015,CAF,Daytime,3.38,,,,
2020,CAF,Nighttime,0.17,,,,
2020,CAF,Daytime,3.07,,,,
2010,CAN,Nighttime,0.64,,,,
2010,CAN,Daytime,1.73,,,,
2015,CAN,Nighttime,0.63,,,,
2015,CAN,Daytime,1.72,,,,
2020,CAN,Nighttime,0.69,,,,
2020,CAN,Daytime,1.67,,,,
2010,CHE,Nighttime,1.24,,,,
2010,CHE,Daytime,2.07,,,,
2015,CHE,Nighttime,1.26,,,,
2015,CHE,Daytime,1.47,,,,
2020,CHE,Nighttime,1.21,,,,
2020,CHE,Daytime,2.11,,,,
2010,CHL,Nighttime,0.66,,,,
2010,CHL,Daytime,1.34,,,,
2015,CHL,Nighttime,0.44,,,,
2015,CHL,Daytime,0.73,,,,
2020,CHL,Nighttime,0.57,,,,
2020,CHL,Daytime,0.56,,,,
2010,CHN,Nighttime,0.78,,,,
2010,CHN,Daytime,1.63,,,,
2015,CHN,Nighttime,0.82,,,,
2015,CHN,Daytime,1.53,,,,
2020,CHN,Nighttime,0.77,,,,
2020,CHN,Daytime,1.60,,,,
2010,CIV,Nighttime,0.29,,,,
2010,CIV,Daytime,2.76,,,,
2015,CIV,Nighttime,0.18,,,,
2015,CIV,Daytime,1.48,,,,
2020,CIV,Nighttime,0.17,,,,
2020,CIV,Daytime,2.04,,,,
2010,CMR,Nighttime,0.12,,,,
2010,CMR,Daytime,0.90,,,,
2015,CMR,Nighttime,-0.02,,,,
2015,CMR,Daytime,0.33,,,,
2020,CMR,Nighttime,-0.05,,,,
2020,CMR,Daytime,1.10,,,,
2010,COD,Nighttime,0.35,,,,
2010,COD,Daytime,1.84,,,,
2015,COD,Nighttime,0.33,,,,
2015,COD,Daytime,2.31,,,,
2020,COD,Nighttime,0.20,,,,
2020,COD,Daytime,2.84,,,,
2010,COG,Nighttime,0.43,,,,
2010,COG,Daytime,3.10,,,,
2015,COG,Nighttime,0.32,,,,
2015,COG,Daytime,4.05,,,,
2020,COG,Nighttime,0.08,,,,
2020,COG,Daytime,4.77,,,,
2010,COL,Nighttime,0.32,,,,
2010,COL,Daytime,1.80,,,,
2015,COL,Nighttime,0.39,,,,
2015,COL,Daytime,1.15,,,,
2020,COL,Nighttime,0.08,,,,
2020,COL,Daytime,1.62,,,,
2010,CRI,Nighttime,0.16,,,,
2010,CRI,Daytime,1.08,,,,
2015,CRI,Nighttime,0.13,,,,
2015,CRI,Daytime,0.91,,,,
2020,CRI,Nighttime,0.04,,,,
2020,CRI,Daytime,1.10,,,,
2010,CUB,Nighttime,0.09,,,,
2010,CUB,Daytime,0.45,,,,
2015,CUB,Nighttime,0.09,,,,
2015,CUB,Daytime,0.36,,,,
2020,CUB,Nighttime,0.12,,,,
2020,CUB,Daytime,0.42,,,,
2010,CUW,Nighttime,0.04,,,,
2010,CUW,Daytime,0.86,,,,
2015,CUW,Nighttime,-0.01,,,,
2015,CUW,Daytime,0.71,,,,
2020,CUW,Nighttime,0.08,,,,
2020,CUW,Daytime,0.94,,,,
2010,CYP,Nighttime,0.72,,,,
2010,CYP,Daytime,-0.24,,,,
2015,CYP,Nighttime,0.68,,,,
2015,CYP,Daytime,-0.23,,,,
2020,CYP,Nighttime,0.81,,,,
2020,CYP,Daytime,-0.15,,,,
2010,CZE,Nighttime,1.64,,,,
2010,CZE,Daytime,2.67,,,,
2015,CZE,Nighttime,2.12,,,,
2015,CZE,Daytime,1.71,,,,
