year,geog,value
2000,ECU,93.7
2001,ECU,94
2002,ECU,94.3
2003,ECU,95
2004,ECU,94.9
2005,ECU,95.8
2006,ECU,96.3
2007,ECU,96.8
2008,ECU,97.2
2009,ECU,96.5
2010,ECU,97.5
2011,ECU,96.9
2012,ECU,97.2
2013,ECU,98
2014,ECU,99
2015,ECU,98.8
2016,ECU,98.7
2017,ECU,99.2
2018,ECU,98.7
2019,ECU,99.1
2020,ECU,98.9
2000,EGY,97.7
2001,EGY,97.3
2002,EGY,97.5
2003,EGY,98.8
2004,EGY,97.9
2005,EGY,99.4
2006,EGY,99
2007,EGY,98.5
2008,EGY,99.8
2009,EGY,98.9
2010,EGY,99.4
2011,EGY,99.5
2012,EGY,99.7
2013,EGY,99.9
2014,EGY,99.8
2015,EGY,99.3
2016,EGY,100
2017,EGY,100
2018,EGY,100
2019,EGY,100
2020,EGY,100
2000,SLV,84.5
2001,SLV,87.1
2002,SLV,87.5
2003,SLV,87
2004,SLV,87.4
2005,SLV,87.5
2006,SLV,89.2
2007,SLV,91.1
2008,SLV,91
2009,SLV,91.1
2010,SLV,91.6
2011,SLV,92.6
2012,SLV,93.7
2013,SLV,95
2014,SLV,95.1
2015,SLV,95.4
2016,SLV,96
2017,SLV,96.8
2018,SLV,97
2019,SLV,97.4
2020,SLV,100
2000,GNQ,65.6
2001,GNQ,65.6
2002,GNQ,65.6
2003,GNQ,65.6
2004,GNQ,65.6
2005,GNQ,65.6
2006,GNQ,65.6
2007,GNQ,65.6
2008,GNQ,65.6
2009,GNQ,65.6
2010,GNQ,66.2
2011,GNQ,66.1
2012,GNQ,65.7
2013,GNQ,65.8
2014,GNQ,65.9
2015,GNQ,66
2016,GNQ,66.2
2017,GNQ,66.3
2018,GNQ,66.5
2019,GNQ,66.6
2020,GNQ,66.7
2000,ERI,29.3
2001,ERI,30.4
2002,ERI,32.2
2003,ERI,32.5
2004,ERI,33.6
2005,ERI,34.7
2006,ERI,35.8
2007,ERI,36.9
2008,ERI,38
2009,ERI,39.1
2010,ERI,40.2
2011,ERI,41.3
2012,ERI,42.5
2013,ERI,43.6
2014,ERI,44.8
2015,ERI,46
2016,ERI,47.2
2017,ERI,48.5
2018,ERI,49.7
2019,ERI,50.9
2020,ERI,52.2
2000,EST,100
2001,EST,100
2002,EST,100
2003,EST,100
2004,EST,100
2005,EST,100
2006,EST,100
2007,EST,100
2008,EST,100
2009,EST,100
2010,EST,100
2011,EST,100
2012,EST,100
2013,EST,100
2014,EST,100
2015,EST,100
2016,EST,100
2017,EST,100
