year,ISO,value,projections,benchmark_low,benchmark_mid,benchmark_high
1982,BEN,0.14364,,,,
1983,BEN,0.1356,,,,
1984,BEN,0.1347,,,,
1985,BEN,0.1335,,,,
1986,BEN,0.1326,,,,
1987,BEN,0.1314,,,,
1988,BEN,0.087,,,,
1989,BEN,0.10775,,,,
1990,BEN,0.1284,,,,
1991,BEN,0.13632,,,,
1992,BEN,0.15725,,,,
1993,BEN,0.16112,,,,
1994,BEN,0.16074,,,,
1995,BEN,0.15998,,,,
1996,BEN,0.1512,,,,
1997,BEN,0.18855,,,,
1998,BEN,0.0836,,,,
1999,BEN,0.0834,,,,
2000,BEN,0.10375,,,,
2001,BEN,0.104,,,,
2002,BEN,0.104,,,,
2003,BEN,0.104,,,,
2004,BEN,0.10425,,,,
2005,BEN,0.10425,,,,
2006,BEN,0.59302,,,,
2007,BEN,0.59055,,,,
2008,BEN,0.5076,,,,
2009,BEN,0.46728,,,,
2010,BEN,0.47502,,,,
2011,BEN,0.51684,,,,
2012,BEN,0.49206,,,,
2013,BEN,0.482058,,,,
2014,BEN,0.463472,,,,
2015,BEN,0.489228,,,,
2016,BEN,0.545631,,,,
2017,BEN,0.54411,,,,
2018,BEN,0.544701,,,,
2019,BEN,0.550963,,,,
2020,BEN,0.557221,,,,
1996,BFA,0.0126,,,,
1997,BFA,0.01676,,,,
1998,BFA,0.01672,,,,
1999,BFA,0.02085,,,,
2000,BFA,0.02075,,,,
2001,BFA,0.0208,,,,
2002,BFA,0.01248,,,,
2003,BFA,0.01248,,,,
2004,BFA,0.01251,,,,
2005,BFA,0.01251,,,,
2006,BFA,0.01194,,,,
2007,BFA,0.01143,,,,
2008,BFA,0.175968,,,,
2009,BFA,0.199302,,,,
2010,BFA,0.213668,,,,
2011,BFA,0.20886,,,,
2012,BFA,0.233286,,,,
2013,BFA,0.19662,,,,
2014,BFA,0.133796,,,,
2015,BFA,0.093102,,,,
2016,BFA,0.120715,,,,
2017,BFA,0.120024,,,,
2018,BFA,0.123254,,,,
2019,BFA,0.12467,,,,
2020,BFA,0.126087,,,,
1970,BGD,0.026676,,,,
1971,BGD,0.033098,,,,
1972,BGD,0.011362,,,,
1973,BGD,0.015808,,,,
1974,BGD,0.026182,,,,
1975,BGD,0.063726,,,,
1976,BGD,0.077558,,,,
1977,BGD,0.152152,,,,
1978,BGD,0.167466,,,,
1979,BGD,0.159068,,,,
1980,BGD,0.165984,,,,
1981,BGD,0.17043,,,,
1982,BGD,0.16137,,,,
1983,BGD,0.151965,,,,
1984,BGD,0.135135,,,,
1985,BGD,0.11904,,,,
1986,BGD,0.144832,,,,
1987,BGD,0.15407,,,,
1988,BGD,0.15407,,,,
1989,BGD,0.170968,,,,
1990,BGD,0.167826,,,,
1991,BGD,0.13805,,,,
1992,BGD,0.137904,,,,
1993,BGD,0.105777,,,,
1994,BGD,0.167184,,,,
1995,BGD,0.16432,,,,
1996,BGD,0.3406,,,,
1997,BGD,0.457585,,,,
1998,BGD,0.66092,,,,
1999,BGD,1.12442,,,,
2000,BGD,1.94036,,,,
2001,BGD,2.66031,,,,
2002,BGD,2.6,,,,
2003,BGD,2.545,,,,
2004,BGD,2.485,,,,
2005,BGD,2.4786,,,,
2006,BGD,2.5296,,,,
2007,BGD,2.5653,,,,
2008,BGD,4.72,,,,
2009,BGD,5.508,,,,
2010,BGD,5.90733,,,,
2011,BGD,6.1698,,,,
2012,BGD,6.1,,,,
