year,geo,disagg,disagg_type,value
2020,MAR,Property,Urban,20
2020,MOZ,Property,Urban,22
2020,MMR,Property,Urban,17
2020,NAM,Property,Urban,30
2020,NPL,Property,Urban,13
2020,NLD,Property,Urban,9
2020,NZL,Property,Urban,12
2020,NIC,Property,Urban,18
2020,NER,Property,Urban,36
2020,NGA,Property,Urban,20
2020,MKD,Property,Urban,9
2020,MKD,Property,Urban,22
2020,NOR,Property,Urban,6
2020,PAK,Property,Urban,15
2020,PSE,Property,Urban,23
2020,PAN,Property,Urban,22
2020,PRY,Property,Urban,14
2020,PER,Property,Urban,18
2020,PHL,Property,Urban,49
2020,POL,Property,Urban,11
2020,PRT,Property,Urban,11
2020,ROU,Property,Urban,8
2020,RUS,Property,Urban,11
2020,RWA,Property,Urban,10
2020,SAU,Property,Urban,33
2020,SEN,Property,Urban,21
2020,SRB,Property,Urban,9
2020,SLE,Property,Urban,28
2020,SGP,Property,Urban,3
2020,SVK,Property,Urban,14
2020,SVN,Property,Urban,7
2020,ZAF,Property,Urban,29
2020,ESP,Property,Urban,9
2020,LKA,Property,Urban,30
2020,SWE,Property,Urban,5
2020,CHE,Property,Urban,4
2020,TWN,Property,Urban,17
2020,TJK,Property,Urban,11
2020,TZA,Property,Urban,20
2020,THA,Property,Urban,21
2020,TGO,Property,Urban,24
2020,TUN,Property,Urban,24
2020,TUR,Property,Urban,28
2020,TKM,Property,Urban,2
2020,UGA,Property,Urban,27
2020,UKR,Property,Urban,8
2020,ARE,Property,Urban,36
2020,GBR,Property,Urban,11
2020,UMI,Property,Urban,13
2020,URY,Property,Urban,15
2020,UZB,Property,Urban,6
2020,VEN,Property,Urban,25
2020,VEN,Property,Urban,12
2020,YEM,Property,Urban,29
2020,ZMB,Property,Urban,28
2020,ZWE,Property,Urban,35
2024,AFG,Property,Urban,53
2024,ALB,Property,Urban,20
2024,DZA,Property,Urban,18
2024,ARG,Property,Urban,18
2024,ARM,Property,Urban,17
2024,AZE,Property,Urban,7
2024,BGD,Property,Urban,21
2024,BEN,Property,Urban,20
2024,BOL,Property,Urban,24
2024,BIH,Property,Urban,12
2024,BWA,Property,Urban,34
