geo,disagg,year,value
MNG,Total,2012,29.3
MNG,Total,2013,31
MNG,Total,2014,32.5
MNG,Total,2015,31.5
MNG,Total,2016,28.5
MNG,Total,2017,28.4
MNG,Total,2018,29.8
MNG,Total,2019,33.1
MNE,Total,2011,23.8
MNE,Total,2012,24.6
MNE,Total,2013,24.8
MNE,Total,2014,26.4
MNE,Total,2015,26.6
MNE,Total,2016,26.8
MNE,Total,2017,27.2
MNE,Total,2018,28.1
MNE,Total,2019,28.9
MAR,Total,2011,13.7
MAR,Total,2012,13.8
MAR,Total,2013,13.9
MOZ,Total,2010,13.4
MOZ,Total,2015,14.3
MMR,Total,2015,16
MMR,Total,2017,14.3
MMR,Total,2018,15.1
MMR,Total,2019,15.3
NAM,Total,2010,16.9
NAM,Total,2012,19.8
NAM,Total,2013,17.5
NAM,Total,2014,18.7
NAM,Total,2016,19.8
NAM,Total,2018,18.7
NPL,Total,2015,2356.9
NPL,Total,2017,7.5
NLD,Total,2010,54.9
NLD,Total,2011,54.6
NLD,Total,2012,47.6
NLD,Total,2013,46.5
NLD,Total,2014,46.1
NLD,Total,2015,46.6
NLD,Total,2016,48.9
NLD,Total,2017,49.2
NLD,Total,2018,49.7
NLD,Total,2019,50.1
NCL,Total,2014,33.4
NCL,Total,2017,33.7
NCL,Total,2018,33.7
NCL,Total,2019,33.8
NZL,Total,2010,48.9
NZL,Total,2011,49.6
NZL,Total,2012,49.8
NZL,Total,2013,50.7
NZL,Total,2014,51.5
NZL,Total,2015,51.5
NZL,Total,2016,51.8
NZL,Total,2017,52.2
NZL,Total,2018,52
NZL,Total,2019,51.2
NIC,Total,2012,25.9
NIC,Total,2014,25.9
NER,Total,2011,8.1
NER,Total,2012,7.3
NER,Total,2014,7.6
NER,Total,2017,9.2
NER,Total,2019,9.2
NGA,Total,2011,15.9
NGA,Total,2013,14.7
NGA,Total,2019,13.9
MKD,Total,2010,22.1
MKD,Total,2011,22.3
MKD,Total,2012,22.4
MKD,Total,2013,23.3
MKD,Total,2014,23.6
MKD,Total,2015,24.3
MKD,Total,2016,25.1
MKD,Total,2017,25.8
MKD,Total,2018,26.5
MKD,Total,2019,28.2
NOR,Total,2010,40.9
NOR,Total,2011,40.5
NOR,Total,2012,40.9
NOR,Total,2013,40.6
NOR,Total,2014,37.1
NOR,Total,2015,36.8
NOR,Total,2016,36.6
NOR,Total,2017,36.1
NOR,Total,2018,35.8
NOR,Total,2019,35.9
PSE,Total,2010,18.2
PSE,Total,2011,19.7
PSE,Total,2012,19.8
PSE,Total,2013,19.7
PSE,Total,2014,19.8
PSE,Total,2015,20.6
