year,geo,value
2010,MTQ,9.7
2011,MTQ,26
2012,MTQ,8.3
2013,MTQ,11
2014,MTQ,2.3
2015,MTQ,4.8
2016,MTQ,2.4
2017,MTQ,4.2
2018,MTQ,1.9
2019,MTQ,8.2
2020,MTQ,5.4
2021,MTQ,5.0
2022,MTQ,4.1
2023,MTQ,8.0
2003,MUS,138
2007,MUS,18
2008,MUS,17
2009,MUS,17
2010,MUS,16
2011,MUS,7.5
2012,MUS,7.3
2013,MUS,7.0
2014,MUS,6.7
2015,MUS,6.5
2016,MUS,6.2
2017,MUS,6.0
2000,MYS,6.7
2001,MYS,5.6
2002,MYS,5.2
2003,MYS,5.4
2004,MYS,5.4
2005,MYS,4.7
2006,MYS,2.4
2007,MYS,2.4
2008,MYS,2.1
2009,MYS,1.6
2010,MYS,0.93
2011,MYS,0.89
2012,MYS,1.0
2013,MYS,1.0
2014,MYS,1.3
2015,MYS,1.1
2016,MYS,1.1
2017,MYS,1.6
2018,MYS,1.4
2019,MYS,0.83
2020,MYS,0.47
2021,MYS,0.46
2022,MYS,0.59
2023,MYS,0.60
2004,NER,2.6
2005,NER,2.5
2004,NLD,131
2006,NLD,314
2008,NLD,271
2010,NLD,270
2012,NLD,290
2014,NLD,287
2016,NLD,301
2018,NLD,298
2020,NLD,288
2022,NLD,246
2004,NOR,146
2006,NOR,261
2008,NOR,304
2010,NOR,361
2012,NOR,271
2014,NOR,310
2016,NOR,310
2018,NOR,308
2020,NOR,347
2022,NOR,349
2018,OMN,4.5
2019,OMN,29
2020,OMN,6.2
2021,OMN,3.2
2022,OMN,3.0
2023,OMN,10
2024,OMN,5.1
2000,PAN,1070
2001,PAN,402
2002,PAN,229
2003,PAN,189
2004,PAN,215
2005,PAN,214
2006,PAN,190
2007,PAN,291
2008,PAN,208
2009,PAN,152
2010,PAN,119
2011,PAN,119
2020,PER,1.6
2021,PER,1.6
2006,PHL,0.76
2007,PHL,8.1
2008,PHL,0.056
2009,PHL,5.0
2010,PHL,7.2
2011,PHL,2.0
2012,PHL,13
2013,PHL,1.1
2014,PHL,4.2
2015,PHL,2.4
2016,PHL,7.2
2017,PHL,5.2
2018,PHL,11
2019,PHL,2.3
2004,POL,42
2006,POL,62
2008,POL,39
2010,POL,39
2012,POL,46
2014,POL,44
2016,POL,50
2018,POL,100
2020,POL,60
2022,POL,57
2004,PRT,216
2006,PRT,576
2008,PRT,54
2010,PRT,64
2012,PRT,70
2014,PRT,71
2016,PRT,81
2018,PRT,108
2020,PRT,100
2022,PRT,89
2000,PSE,63
2003,PSE,55
2004,PSE,76
2005,PSE,63
2006,PSE,71
2007,PSE,44
2008,PSE,32
2009,PSE,27
2010,PSE,98
2012,PSE,93
2014,PSE,97
2016,PSE,0.65
2006,QAT,2.7
2007,QAT,13
2008,QAT,13
2009,QAT,4.8
2010,QAT,9.6
2011,QAT,7.8
2012,QAT,7.9
2013,QAT,5.2
2014,QAT,2.8
2015,QAT,3.1
2016,QAT,6.5
2017,QAT,4.6
2018,QAT,4.7
2019,QAT,4.9
2020,QAT,3.4
2021,QAT,2.6
2022,QAT,3.6
2023,QAT,1.6
2000,REU,7.8
2006,REU,10
2007,REU,81
2008,REU,75
2009,REU,78
2010,REU,18
2011,REU,33
2012,REU,11
2013,REU,10
2014,REU,9.6
2015,REU,11
2016,REU,10
2017,REU,9.6
2018,REU,10
2019,REU,8.8
2020,REU,9.0
2021,REU,9.3
2022,REU,6.3
2023,REU,5.0
2004,ROU,107
2006,ROU,50
2008,ROU,26
2010,ROU,34
2012,ROU,34
2014,ROU,30
2016,ROU,32
2018,ROU,38
2020,ROU,40
2022,ROU,57
2002,RUS,0.069
2003,RUS,0.051
2004,RUS,0.10
2005,RUS,0.10
2006,RUS,0.10
2007,RUS,0.05
2008,RUS,0.12
2009,RUS,0.10
2010,RUS,0.13
2011,RUS,0.12
2012,RUS,0.13
2013,RUS,0.12
2014,RUS,0.12
2015,RUS,0.13
2016,RUS,0.15
2017,RUS,0.14
2018,RUS,0.11
2019,RUS,0.15
2020,RUS,0.15
2021,RUS,0.12
2022,RUS,0.14
2023,RUS,0.18
2016,SAU,5.5
2018,SAU,2.8
2019,SAU,2.5
2020,SAU,1.8
2000,SGP,3.3
2001,SGP,2.0
2002,SGP,2.1
2003,SGP,1.9
2004,SGP,1.5
2005,SGP,1.3
2006,SGP,1.1
2007,SGP,0.94
2008,SGP,1.0
2009,SGP,1.4
2010,SGP,1.2
2011,SGP,1.2
2012,SGP,1.8
2013,SGP,1.6
2014,SGP,1.3
2015,SGP,1.2
2016,SGP,1.2
2017,SGP,1.2
2018,SGP,1.0
2019,SGP,1.3
2020,SGP,1.6
2011,SLV,0.60
2012,SLV,0.60
2013,SLV,0.82
2014,SLV,0.55
2015,SLV,0.54
2016,SLV,0.58
2017,SLV,0.52
2018,SLV,0.51
